Case_ID,PUBLISH DATE,PUBLISH TIME,AUTHOR,COMMENT,SOURCE,URL,SENTIMENT,COMMENT TYPE,AREAS AFFECTED,WEIBO TYPE
Weibo_P_1,04/01/2014,1236,liu ,中宏保险扬州分公司开业六周年，为回馈新老客户，特在6月中旬香港、澳门品质7日游，香港地接旅行社，品质服务保证，有兴趣的欢迎跟我联络,Reader,http://t.qq.com/p/t/399203033114068,Neutral,G,Sponsored Events,Tencent
Weibo_P_2,04/01/2014,1248,"

宋燕 ",易变的岁月，不变的承诺。 中宏保险 ,Reader,http://t.qq.com/p/t/370446013555736,Neutral,G,Ads/Marketing,Tencent
Weibo_P_3,04/01/2014,2123,王雪强,中宏保险 http://url.cn/KxJbHh,Reader,http://t.qq.com/p/t/373542010354935,Neutral,G,Products/Service,Tencent
Weibo_P_4,04/02/2014,1139,刘庆伟8698 ,中宏人寿“长保安康长期疾病保险”隆重上市http://url.cn/MVP2TN ,Reader,http://t.qq.com/p/t/277019077055180,Neutral,G,Products/Service,Tencent
Weibo_P_5,04/02/2014,1217,郭晨 ,四月份人才招聘正式启动，你对现在的工作不满意吗？你对目前的收入不满意吗？你觉得自己的能力还没有完全发挥吗？你想不需要投资就自己能当老板吗？如果你想赚钱，想创业，想跳槽，想尽情发挥自己的能力！建议你加入中宏保险，工资上不封顶，视能力而定！工作时间自由！这样的工作，你还不心动吗？赶快 ,Reader,http://t.qq.com/p/t/372643052722643,Neutral,G,Employment,Tencent
Weibo_P_6,04/02/2014,1219,玥宝妈也是Minoz,95%的人死于疾病，你今天健康不代表你今后也健康，在年轻时购买足额的疾病保险，为自己和家人减轻经济负担，也是一种爱的方式。有意者可以向我咨询，中宏保险，13402154623。 ,Reader,http://weibo.com/1782680307/ADOmhdmbr,Neutral,G,Ads/Marketing,Sina
Weibo_P_7,04/02/2014,1313,张军 ,中宏保险母公司宏利金融旗下泰达宏利基金公司！实力见证！ ,Reader,http://t.qq.com/p/t/376436087332048,Positive,G,Stocks&Earnings,Tencent
Weibo_P_8,04/02/2014,1716,石海棠 ,搜狗百科词条【中宏人寿保险有限公司】：中宏人寿保险有限公司是国内首家中外合资人寿保险公司，由加拿大宏利金融旗下的宏利人寿保险(国际)有限公… 详细点击 http://url.cn/QckhMq,Reader,http://t.qq.com/p/t/376835087311647,Neutral,G,Corporate News,Tencent
Weibo_P_9,04/02/2014,1752,何建英 ,四月份人才招聘正式启动，你对现在的工作不满意吗？你对目前的收入不满意吗？你觉得自己的能力还没有完全发挥吗？你想不需要投资就自己能当老板吗？如果你想赚钱，想创业，想跳槽，想尽情发挥自己的能力！建议你加入中宏保险，工资上不封顶，视能力而定！工作时间自由！这样的工作，你还不心动吗？赶快 ,Reader,http://t.qq.com/p/t/374340130683240,Neutral,G,Employment,Tencent
Weibo_P_10,04/02/2014,1946,兰山,亲爱的客户朋友们公司给你们的优惠活的倒计时开始了。还有19天时间请抓紧时间考虑，提前和我预约见面讲解的时间。联系电话13780838089 为感谢广大老客户长期以来对中宏保险的信任与支持，在2014年新年伊始，公司向所有老客户特别限时推出一款保障周全、特别设计的全新... http://url.cn/QXphPw,Reader,http://t.qq.com/p/t/395209072275989,Neutral,G,Products/Service,Tencent
