Case_ID,PUBLISH DATE,PUBLISH TIME,AUTHOR,COMMENT,SOURCE,TYPE,SENTIMENT,COMMENT TYPE,AREAS AFFECTED
Weibo_M_1,04/01/2014,814,AIA友邦昆山罗云东,"转发微博
◆
◆
@中宏保险
一些得到，不一定会长久；一些失去，未必不会再拥有。重要的是：让心，在阳光下学会舞蹈；让灵魂，在痛苦中学会微笑。向前走，潇洒心情，收获淡定。早安！",Reader, @My Microblog,Neutral,S,Life Comprehend
Weibo_M_2,04/01/2014,1324,"


周栓授0810","转发微博


◆◆


 @中宏保险

据全国肿瘤登记中心发布的《2012中国肿瘤登记年报》显示：中国癌症发病形势严峻，发病率与死亡率呈持续上升趋势。由于社会压力大、不良生活习惯多，很多癌症“重男轻女”。专家表示，选择健康类保险也可以“厚此薄彼”，为家庭顶梁柱选择较多的保障规划，同时，更重要的是保障额度充分。 ",Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_3,04/01/2014,1810,XXL-1111 ,"转发微博 @中宏保险 

据全国肿瘤登记中心发布的《2012中国肿瘤登记年报》显示：中国癌症发病形势严峻，发病率与死亡率呈持续上升趋势。由于社会压力大、不良生活习惯多，很多癌症“重男轻女”。专家表示，选择健康类保险也可以“厚此薄彼”，为家庭顶梁柱选择较多的保障规划，同时，更重要的是保障额度充分。 ",Reader,Received Comment,Neutral,G,Products/Service
Weibo_M_4,04/01/2014,1847,茄贰 ,"！@中宏保险 

据全国肿瘤登记中心发布的《2012中国肿瘤登记年报》显示：中国癌症发病形势严峻，发病率与死亡率呈持续上升趋势。由于社会压力大、不良生活习惯多，很多癌症“重男轻女”。专家表示，选择健康类保险也可以“厚此薄彼”，为家庭顶梁柱选择较多的保障规划，同时，更重要的是保障额度充分。 ",Reader, @My Microblog,Neutral,G,Products/Service
Weibo_M_5,04/01/2014,1931,中宏保险芸 ,"转发微博 @中宏保险 

【健康养生】在衣柜内放置超过3个月以上的衣物会孳生螨虫，并带有一些病菌和过敏原，换季时若直接拿来穿，容易导致皮肤问题，贴身衣物更是如此。所以，换季衣服穿之前一定要先晒晒。晒衣物最好选在上午10点到下午4点之间，尤其是中午12点到下午3点，紫外线功效最强，晾晒时间以3小时为宜。",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_6,04/01/2014,2130,善缘3439,"意外伤害 无处不在...！@中宏保险 @中宏保险河北石家庄分公司 要投保 把我找 18032199087 联系人 胡先生 [話筒] @jerry是律师 

前几天看到上海某医院医生被人砍，今天接到该医院的案子，医务科真的骗人不眨眼，明明未按规范做过产前胎儿b超筛选，却大放厥词告诉家属，这不是必查项目！孩子生出来先天性心脏病，室间隔缺损！ ",Reader, @My Microblog,Neutral,G,Ads/Marketing
Weibo_M_7,04/01/2014,2222,烟台银,"转发微博@中宏保险 @中宏保险 

身上事少，自然苦少；口中言少，自然祸少；腹中食少，自然病少；心中欲少，自然忧少。大悲无泪，大悟无言。缘来要惜，缘尽就放。这世上，笑笑人家，也让别人笑笑自己，放松心情，给自己快乐。晚安！ ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_8,04/01/2014,2246,现代美女3205321004,"//@刘铁峰小朋友://@现代美女3205321004: 转发微博 @中宏保险 

【健康保障】权威数据显示，人类患重大疾病的几率为72%。如果不能免于重疾威胁，我们又该如何应对？面对健康风险，重大疾病保险成为防范风险的重要手段。中宏保险重疾理赔数据带来警示：第一，及早投保不能等！第二，足额保障不可缺！ ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_9,04/01/2014,2255,sooo璐 ,"[许愿]@中宏保险 @中宏保险 

身上事少，自然苦少；口中言少，自然祸少；腹中食少，自然病少；心中欲少，自然忧少。大悲无泪，大悟无言。缘来要惜，缘尽就放。这世上，笑笑人家，也让别人笑笑自己，放松心情，给自己快乐。晚安！  ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_10,04/01/2014,2329,失忆的海鸥 ,"转发微博 @中宏保险   

一个人即使没有钱，也可以给予别人五样东西。第一，颜施，你可以用微笑与别人相处。第二，言施，对别人多说鼓励的话、安慰的话、称赞的话、谦让的话、温柔的话。第三，心施，敞开心扉,诚恳待人。第四，眼施，以善意的眼光去看别人。第五，身施，以行动去帮助别人。 早安！",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_11,04/01/2014,2329-1,你到底有没有药 ,"晚安 //@烟台银:转发微博 @中宏保险 

身上事少，自然苦少；口中言少，自然祸少；腹中食少，自然病少；心中欲少，自然忧少。大悲无泪，大悟无言。缘来要惜，缘尽就放。这世上，笑笑人家，也让别人笑笑自己，放松心情，给自己快乐。晚安！ ",Reader, @My Microblog,Neutral,G,Life Comprehend
Weibo_M_12,04/02/2014,915,幸福小米女,"转发微博
◆
◆
@中宏保险
【健康养生】在衣柜内放置超过3个月以上的衣物会孳生螨虫，并带有一些病菌和过敏原，换季时若直接拿来穿，容易导致皮肤问题，贴身衣物更是如此。所以，换季衣服穿之前一定要先晒晒。晒衣物最好选在上午10点到下午4点之间，尤其是中午12点到下午3点，紫外线功效最强，晾晒时间以3小时为宜。",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_13,04/02/2014,1022,周栓授0810,"[心] @中宏保险 

关爱星星的孩子。4月2日，是自闭症孩子的节日，是全社会共同关注、关爱自闭症孩子的日子。自闭症，医学上也称孤独症，是一种严重的精神发育障碍，主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动和兴趣范围的显著局限性等。父母陪伴孩子健康成长，是一种爱，更是一种责任。 ",Reader,Received Comment,Neutral,G,Health Information
Weibo_M_14,04/02/2014,1023,luna_life,您好，想问下湖南衡阳有没有服务点，请速回答，谢谢！,Reader,Private Message,Neutral,G,Customer Service
Weibo_M_15,04/02/2014,1026,正时光静好 ,"转发微博 @中宏保险 

关爱星星的孩子。4月2日，是自闭症孩子的节日，是全社会共同关注、关爱自闭症孩子的日子。自闭症，医学上也称孤独症，是一种严重的精神发育障碍，主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动和兴趣范围的显著局限性等。父母陪伴孩子健康成长，是一种爱，更是一种责任。",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_16,04/02/2014,1035,luna_life,853459219@qq.com,Reader,Private Message,Neutral,G,Customer Service
Weibo_M_17,04/02/2014,1039,我是心情不错,"转发微博 @中宏保险 

关爱星星的孩子。4月2日，是自闭症孩子的节日，是全社会共同关注、关爱自闭症孩子的日子。自闭症，医学上也称孤独症，是一种严重的精神发育障碍，主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动和兴趣范围的显著局限性等。父母陪伴孩子健康成长，是一种爱，更是一种责任。 ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_18,04/02/2014,1044,ZyeZhang,"转发微博 @中宏保险 

关爱星星的孩子。4月2日，是自闭症孩子的节日，是全社会共同关注、关爱自闭症孩子的日子。自闭症，医学上也称孤独症，是一种严重的精神发育障碍，主要特征是漠视情感、拒绝交流、语言发育迟滞、行为重复刻板以及活动和兴趣范围的显著局限性等。父母陪伴孩子健康成长，是一种爱，更是一种责任。 ",Reader, @My Microblog,Neutral,G,Health Information
Weibo_M_19,04/02/2014,1641,中宏保险宏云理财-郑少艾Saul,"转发微博 @中宏保险 

医学统计报告显示，女性特有癌症的四大杀手为：乳腺癌、宫颈癌、卵巢癌、子宫内膜癌。这些高发性癌症具有治愈率高、存活率高、存活期长的特点。与此相对应地，其所需的治疗费用、康复费用高，还可能影响工作造成收入损失。保险理财专家表示，女性为自己购买一份保障很有必要，可以未雨绸缪，早做准备。 ",Reader, @My Microblog,Neutral,G,Products/Service
